dataset,modality,fold,cube_shape,feature_mode,augmentation,image_model,pixel_model,best_c,best_val_image_accuracy,pixel_best_c,pixel_best_val_majority_accuracy,pixel_c_selection,test_image_accuracy,test_image_macro_f1,test_image_per_class_recall,test_pixel_majority_accuracy,test_pixel_majority_macro_f1,test_pixel_majority_per_class_recall,pixel_train_samples_per_image,train_count,val_count,test_count
camo,native_scatter_4ch,0,"[4, 660, 660]",spatial2_mean_std,"{'augment_train_copies': 2, 'augment_gain_range': 0.08, 'augment_channel_gain_range': 0.04, 'augment_offset_range': 0.02, 'augment_noise_std': 0.005, 'spatial_transforms': 'random rot90 plus random horizontal/vertical flips for augmented copies only'}",linear_svm,linear_svm,0.03,1.0,0.03,0.875,val_majority,0.75,0.7493734335839599,"{'camo': 0.7, 'no_camo': 0.8}",0.8,0.797979797979798,"{'camo': 0.9, 'no_camo': 0.7}",512,72,8,20
camo,native_scatter_4ch,1,"[4, 660, 660]",spatial2_mean_std,"{'augment_train_copies': 2, 'augment_gain_range': 0.08, 'augment_channel_gain_range': 0.04, 'augment_offset_range': 0.02, 'augment_noise_std': 0.005, 'spatial_transforms': 'random rot90 plus random horizontal/vertical flips for augmented copies only'}",linear_svm,linear_svm,3.0,1.0,0.03,0.875,val_majority,0.8,0.8,"{'camo': 0.8, 'no_camo': 0.8}",0.8,0.797979797979798,"{'camo': 0.9, 'no_camo': 0.7}",512,72,8,20
camo,native_scatter_4ch,2,"[4, 660, 660]",spatial2_mean_std,"{'augment_train_copies': 2, 'augment_gain_range': 0.08, 'augment_channel_gain_range': 0.04, 'augment_offset_range': 0.02, 'augment_noise_std': 0.005, 'spatial_transforms': 'random rot90 plus random horizontal/vertical flips for augmented copies only'}",linear_svm,linear_svm,0.03,0.875,0.03,0.75,val_majority,0.9,0.898989898989899,"{'camo': 1.0, 'no_camo': 0.8}",0.95,0.949874686716792,"{'camo': 1.0, 'no_camo': 0.9}",512,72,8,20
camo,native_scatter_4ch,3,"[4, 660, 660]",spatial2_mean_std,"{'augment_train_copies': 2, 'augment_gain_range': 0.08, 'augment_channel_gain_range': 0.04, 'augment_offset_range': 0.02, 'augment_noise_std': 0.005, 'spatial_transforms': 'random rot90 plus random horizontal/vertical flips for augmented copies only'}",linear_svm,linear_svm,0.03,0.875,0.03,0.875,val_majority,0.95,0.949874686716792,"{'camo': 1.0, 'no_camo': 0.9}",0.75,0.7333333333333334,"{'camo': 1.0, 'no_camo': 0.5}",512,72,8,20
camo,native_scatter_4ch,4,"[4, 660, 660]",spatial2_mean_std,"{'augment_train_copies': 2, 'augment_gain_range': 0.08, 'augment_channel_gain_range': 0.04, 'augment_offset_range': 0.02, 'augment_noise_std': 0.005, 'spatial_transforms': 'random rot90 plus random horizontal/vertical flips for augmented copies only'}",linear_svm,linear_svm,0.03,0.75,0.03,0.75,val_majority,0.9,0.9,"{'camo': 0.9, 'no_camo': 0.9}",0.75,0.7493734335839599,"{'camo': 0.8, 'no_camo': 0.7}",512,72,8,20
camo,recon_1ch_mean_all,0,"[1, 128, 128]",spatial2_mean_std,"{'augment_train_copies': 2, 'augment_gain_range': 0.08, 'augment_channel_gain_range': 0.04, 'augment_offset_range': 0.02, 'augment_noise_std': 0.005, 'spatial_transforms': 'random rot90 plus random horizontal/vertical flips for augmented copies only'}",linear_svm,linear_svm,0.03,1.0,0.03,0.875,val_majority,0.9,0.9,"{'camo': 0.9, 'no_camo': 0.9}",0.8,0.7916666666666667,"{'camo': 1.0, 'no_camo': 0.6}",512,72,8,20
camo,recon_1ch_mean_all,1,"[1, 128, 128]",spatial2_mean_std,"{'augment_train_copies': 2, 'augment_gain_range': 0.08, 'augment_channel_gain_range': 0.04, 'augment_offset_range': 0.02, 'augment_noise_std': 0.005, 'spatial_transforms': 'random rot90 plus random horizontal/vertical flips for augmented copies only'}",linear_svm,linear_svm,0.03,0.875,0.03,1.0,val_majority,0.95,0.949874686716792,"{'camo': 1.0, 'no_camo': 0.9}",0.75,0.7333333333333334,"{'camo': 1.0, 'no_camo': 0.5}",512,72,8,20
camo,recon_1ch_mean_all,2,"[1, 128, 128]",spatial2_mean_std,"{'augment_train_copies': 2, 'augment_gain_range': 0.08, 'augment_channel_gain_range': 0.04, 'augment_offset_range': 0.02, 'augment_noise_std': 0.005, 'spatial_transforms': 'random rot90 plus random horizontal/vertical flips for augmented copies only'}",linear_svm,linear_svm,0.03,1.0,0.03,0.625,val_majority,0.95,0.949874686716792,"{'camo': 1.0, 'no_camo': 0.9}",0.85,0.8465473145780051,"{'camo': 1.0, 'no_camo': 0.7}",512,72,8,20
camo,recon_1ch_mean_all,3,"[1, 128, 128]",spatial2_mean_std,"{'augment_train_copies': 2, 'augment_gain_range': 0.08, 'augment_channel_gain_range': 0.04, 'augment_offset_range': 0.02, 'augment_noise_std': 0.005, 'spatial_transforms': 'random rot90 plus random horizontal/vertical flips for augmented copies only'}",linear_svm,linear_svm,0.1,0.875,0.03,0.75,val_majority,0.95,0.949874686716792,"{'camo': 1.0, 'no_camo': 0.9}",0.65,0.6011396011396011,"{'camo': 1.0, 'no_camo': 0.3}",512,72,8,20
camo,recon_1ch_mean_all,4,"[1, 128, 128]",spatial2_mean_std,"{'augment_train_copies': 2, 'augment_gain_range': 0.08, 'augment_channel_gain_range': 0.04, 'augment_offset_range': 0.02, 'augment_noise_std': 0.005, 'spatial_transforms': 'random rot90 plus random horizontal/vertical flips for augmented copies only'}",linear_svm,linear_svm,0.03,1.0,0.03,0.75,val_majority,0.95,0.949874686716792,"{'camo': 0.9, 'no_camo': 1.0}",0.75,0.7333333333333334,"{'camo': 1.0, 'no_camo': 0.5}",512,72,8,20
camo,recon_4ch_pol_mean_wavelength,0,"[4, 128, 128]",spatial2_mean_std,"{'augment_train_copies': 2, 'augment_gain_range': 0.08, 'augment_channel_gain_range': 0.04, 'augment_offset_range': 0.02, 'augment_noise_std': 0.005, 'spatial_transforms': 'random rot90 plus random horizontal/vertical flips for augmented copies only'}",linear_svm,linear_svm,0.03,1.0,0.03,0.875,val_majority,0.9,0.9,"{'camo': 0.9, 'no_camo': 0.9}",0.8,0.7916666666666667,"{'camo': 1.0, 'no_camo': 0.6}",512,72,8,20
camo,recon_4ch_pol_mean_wavelength,1,"[4, 128, 128]",spatial2_mean_std,"{'augment_train_copies': 2, 'augment_gain_range': 0.08, 'augment_channel_gain_range': 0.04, 'augment_offset_range': 0.02, 'augment_noise_std': 0.005, 'spatial_transforms': 'random rot90 plus random horizontal/vertical flips for augmented copies only'}",linear_svm,linear_svm,0.03,0.875,0.03,1.0,val_majority,0.95,0.949874686716792,"{'camo': 1.0, 'no_camo': 0.9}",0.75,0.7333333333333334,"{'camo': 1.0, 'no_camo': 0.5}",512,72,8,20
camo,recon_4ch_pol_mean_wavelength,2,"[4, 128, 128]",spatial2_mean_std,"{'augment_train_copies': 2, 'augment_gain_range': 0.08, 'augment_channel_gain_range': 0.04, 'augment_offset_range': 0.02, 'augment_noise_std': 0.005, 'spatial_transforms': 'random rot90 plus random horizontal/vertical flips for augmented copies only'}",linear_svm,linear_svm,0.03,1.0,0.03,0.625,val_majority,1.0,1.0,"{'camo': 1.0, 'no_camo': 1.0}",0.85,0.8465473145780051,"{'camo': 1.0, 'no_camo': 0.7}",512,72,8,20
camo,recon_4ch_pol_mean_wavelength,3,"[4, 128, 128]",spatial2_mean_std,"{'augment_train_copies': 2, 'augment_gain_range': 0.08, 'augment_channel_gain_range': 0.04, 'augment_offset_range': 0.02, 'augment_noise_std': 0.005, 'spatial_transforms': 'random rot90 plus random horizontal/vertical flips for augmented copies only'}",linear_svm,linear_svm,0.03,0.875,0.03,0.75,val_majority,0.95,0.949874686716792,"{'camo': 1.0, 'no_camo': 0.9}",0.65,0.6011396011396011,"{'camo': 1.0, 'no_camo': 0.3}",512,72,8,20
