family,dataset,run_label,model_label,variant_label,source_dir,notes,folds_completed,image_acc_1ch,image_acc_4ch,image_acc_7ch,image_acc_27ch,image_acc_106ch,image_acc_424ch,image_monotonic_recon,image_strict_recon,image_r2_recon,image_monotonic_pyramid,image_strict_pyramid,image_r2_pyramid,pixel_acc_1ch,pixel_acc_4ch,pixel_acc_106ch,pixel_acc_424ch,pixel_monotonic_recon,pixel_strict_recon,pixel_r2_recon,patch_acc_1ch,patch_acc_7ch,patch_acc_27ch,patch_acc_106ch,patch_acc_424ch,patch_monotonic_pyramid,patch_strict_pyramid,patch_r2_pyramid,best_metric_type_424ch,best_metric_value_424ch,importance_tag
classical_svm,textiles,iter6_textiles,linear_svm,spatial2_mean_std_aug__pixelSel_val_majority,outputs/research_iter6_textiles_spatial2_aug,,5,0.5865530303030303,0.6054924242424242,,,0.7520833333333333,0.8017045454545455,True,True,0.9828789003666496,,,,0.5176136363636363,0.4746212121212121,0.7028409090909091,0.728030303030303,False,False,0.8742062718714316,,,,,,,,,image,0.8017045454545455,best_classical_textiles_image_monotonic
classical_svm,camo,baseline_camo,linear_svm,mean_std__pixelSel_image,outputs/camo_five_modalities_roi_svm,,5,0.93,0.93,,,0.9200000000000002,0.89,False,False,0.7417411874058663,,,,0.76,0.76,0.89,0.9000000000000001,True,False,0.9365802211331592,,,,,,,,,pixel,0.9000000000000001,best_classical_camo_pixel_monotonic
deep_architecture_sweep,camo,arch_sweep_overnight_20260504_163137,polar_factorized_attn,arch_sweep_overnight_20260504_163137,outputs/arch_sweep_overnight_20260504_163137,,5,0.67,0.74,,,0.82,0.8400000000000001,True,True,0.9627088712661224,,,,,,,,,,,,,,,,,,,image,0.8400000000000001,only_deep_run_monotonic_on_both_datasets
deep_architecture_sweep,textiles,arch_sweep_overnight_20260504_163137,polar_factorized_attn,arch_sweep_overnight_20260504_163137,outputs/arch_sweep_overnight_20260504_163137,,5,0.4316287878787879,0.4441287878787879,,,0.45625,0.5060606060606061,True,True,0.7946434170861562,,,,,,,,,,,,,,,,,,,image,0.5060606060606061,only_deep_run_monotonic_on_both_datasets
deep_architecture_sweep,textiles,arch_sweep_followup_noaug_20260505_003917,patch_cnn_attn,arch_sweep_followup_noaug_20260505_003917,outputs/arch_sweep_followup_noaug_20260505_003917,,5,0.4257575757575758,0.4876893939393939,,,0.5869318181818182,0.6611742424242424,True,True,0.9893761662739324,,,,,,,,,,,,,,,,,,,image,0.6611742424242424,best_deep_textile_monotonic
deep_architecture_sweep,camo,arch_sweep_overnight_20260504_163137_dense_tta,token_mixer_mil,arch_sweep_overnight_20260504_163137_dense_tta,outputs/arch_sweep_overnight_20260504_163137_dense_tta,,5,0.5,0.6799999999999999,,,0.8800000000000001,0.91,True,True,0.9469910526806148,,,,,,,,,,,,,,,,,,,image,0.91,best_deep_camo_monotonic
classical_svm_repro,textiles,repro_textiles_iter6_pixel_majority_same_config,linear_svm,spatial2_mean_std_aug__pixelSel_val_majority,outputs/repro_textiles_iter6_pixel_majority_same_config,Reproducibility rerun of iter6_textiles; matches the original exactly.,5,0.5865530303030303,0.6054924242424242,,,0.7520833333333333,0.8017045454545455,True,True,0.919176914417137,,,,0.5176136363636363,0.4746212121212121,0.7028409090909091,0.728030303030303,False,False,0.7485405718198889,,,,,,,,,image,0.8017045454545455,reproducibility_check
classical_svm,camo,iter1_camo,linear_svm,mean_std_q__pixelSel_image,outputs/research_iter1_camo_mean_std_q,,5,0.93,0.95,,,0.9,0.8700000000000001,False,False,0.7977256386590219,,,,0.76,0.76,0.89,0.9000000000000001,True,False,0.9365802211331592,,,,,,,,,pixel,0.9000000000000001,
classical_svm,camo,iter4_camo,linear_svm,spatial2_mean_std__pixelSel_image,outputs/research_iter4_camo_spatial2,,5,0.93,0.92,,,0.91,0.91,False,False,0.9081131374533205,,,,0.76,0.76,0.89,0.9000000000000001,True,False,0.9365802211331592,,,,,,,,,image,0.91,
classical_svm,camo,iter5_camo,linear_svm,mean_std_q_minmax__pixelSel_image,outputs/research_iter5_camo_mean_std_q_minmax,,5,0.8400000000000001,0.7799999999999999,,,0.8300000000000001,0.6900000000000001,False,False,0.4142039722181508,,,,0.76,0.76,0.89,0.9000000000000001,True,False,0.9365802211331592,,,,,,,,,pixel,0.9000000000000001,
classical_svm,camo,iter6_camo,linear_svm,spatial2_mean_std_aug__pixelSel_val_majority,outputs/research_iter6_camo_spatial2_aug,,5,0.94,0.95,,,0.93,0.8800000000000001,False,False,0.6688204522317833,,,,0.76,0.76,0.8699999999999999,0.89,True,False,0.9516745119335088,,,,,,,,,pixel,0.89,
classical_svm,camo,iter7_camo,linear_svm,spatial4_mean_std_q_aug__pixelSel_image,outputs/research_iter7_camo_spatial4q_aug,,5,0.9,0.91,,,0.89,0.85,False,False,0.6894435009990221,,,,0.76,0.76,0.8699999999999999,0.89,True,False,0.9516745119335088,,,,,,,,,pixel,0.89,
classical_svm,camo,iter8_camo,linear_svm,downsample16_flat_aug__pixelSel_image,outputs/research_iter8_camo_downsample16_aug,,5,0.8799999999999999,0.89,,,0.91,0.8500000000000002,False,False,0.0757329580134413,,,,0.76,0.76,0.8699999999999999,0.89,True,False,0.9516745119335088,,,,,,,,,pixel,0.89,
deep_architecture_sweep,camo,arch_sweep_followup_high_capacity_20260504_230806,downsample2d_cnn,arch_sweep_followup_high_capacity_20260504_230806,outputs/arch_sweep_followup_high_capacity_20260504_230806,,5,0.86,0.8800000000000001,,,0.8799999999999999,0.8799999999999999,True,False,0.5154215568325564,,,,,,,,,,,,,,,,,,,image,0.8799999999999999,
