dataset,modality,fold,cube_shape,feature_mode,augmentation,image_model,pixel_model,best_c,best_val_image_accuracy,pixel_best_c,pixel_best_val_majority_accuracy,pixel_c_selection,test_image_accuracy,test_image_macro_f1,test_image_per_class_recall,test_pixel_majority_accuracy,test_pixel_majority_macro_f1,test_pixel_majority_per_class_recall,pixel_train_samples_per_image,train_count,val_count,test_count
textiles,native_scatter_4ch,0,"[4, 310, 309]",spatial2_mean_std,"{'augment_train_copies': 2, 'augment_gain_range': 0.08, 'augment_channel_gain_range': 0.04, 'augment_offset_range': 0.02, 'augment_noise_std': 0.005, 'spatial_transforms': 'random rot90 plus random horizontal/vertical flips for augmented copies only'}",linear_svm,linear_svm,0.3,0.8461538461538461,0.03,0.5384615384615384,val_majority,0.7272727272727273,0.6850931677018633,"{'cotton': 1.0, 'felt': 0.3, 'nylon': 0.8461538461538461}",0.5151515151515151,0.4051282051282052,"{'cotton': 0.9, 'felt': 0.0, 'nylon': 0.6153846153846154}",512,116,13,33
textiles,native_scatter_4ch,1,"[4, 310, 309]",spatial2_mean_std,"{'augment_train_copies': 2, 'augment_gain_range': 0.08, 'augment_channel_gain_range': 0.04, 'augment_offset_range': 0.02, 'augment_noise_std': 0.005, 'spatial_transforms': 'random rot90 plus random horizontal/vertical flips for augmented copies only'}",linear_svm,linear_svm,0.3,0.7692307692307693,0.03,0.5384615384615384,val_majority,0.696969696969697,0.674640522875817,"{'cotton': 1.0, 'felt': 0.4, 'nylon': 0.6923076923076923}",0.42424242424242425,0.3316239316239316,"{'cotton': 0.6, 'felt': 0.0, 'nylon': 0.6153846153846154}",512,116,13,33
textiles,native_scatter_4ch,2,"[4, 310, 309]",spatial2_mean_std,"{'augment_train_copies': 2, 'augment_gain_range': 0.08, 'augment_channel_gain_range': 0.04, 'augment_offset_range': 0.02, 'augment_noise_std': 0.005, 'spatial_transforms': 'random rot90 plus random horizontal/vertical flips for augmented copies only'}",linear_svm,linear_svm,0.3,0.8461538461538461,0.03,0.6923076923076923,val_majority,0.84375,0.8402255639097743,"{'cotton': 0.8, 'felt': 0.8, 'nylon': 0.9166666666666666}",0.40625,0.30980392156862746,"{'cotton': 0.4, 'felt': 0.0, 'nylon': 0.75}",512,117,13,32
textiles,native_scatter_4ch,3,"[4, 310, 309]",spatial2_mean_std,"{'augment_train_copies': 2, 'augment_gain_range': 0.08, 'augment_channel_gain_range': 0.04, 'augment_offset_range': 0.02, 'augment_noise_std': 0.005, 'spatial_transforms': 'random rot90 plus random horizontal/vertical flips for augmented copies only'}",linear_svm,linear_svm,3.0,0.9230769230769231,0.03,0.38461538461538464,val_majority,0.8125,0.8019323671497585,"{'cotton': 1.0, 'felt': 0.6, 'nylon': 0.8333333333333334}",0.59375,0.4715909090909091,"{'cotton': 0.8, 'felt': 0.0, 'nylon': 0.9166666666666666}",512,117,13,32
textiles,native_scatter_4ch,4,"[4, 310, 309]",spatial2_mean_std,"{'augment_train_copies': 2, 'augment_gain_range': 0.08, 'augment_channel_gain_range': 0.04, 'augment_offset_range': 0.02, 'augment_noise_std': 0.005, 'spatial_transforms': 'random rot90 plus random horizontal/vertical flips for augmented copies only'}",linear_svm,linear_svm,0.3,0.7692307692307693,0.03,0.5384615384615384,val_majority,0.84375,0.82,"{'cotton': 1.0, 'felt': 0.5, 'nylon': 1.0}",0.4375,0.3475862068965518,"{'cotton': 0.7, 'felt': 0.0, 'nylon': 0.5833333333333334}",512,117,13,32
textiles,recon_1ch_mean_all,0,"[1, 60, 60]",spatial2_mean_std,"{'augment_train_copies': 2, 'augment_gain_range': 0.08, 'augment_channel_gain_range': 0.04, 'augment_offset_range': 0.02, 'augment_noise_std': 0.005, 'spatial_transforms': 'random rot90 plus random horizontal/vertical flips for augmented copies only'}",linear_svm,linear_svm,0.03,0.6153846153846154,0.03,0.3076923076923077,val_majority,0.6363636363636364,0.5092838196286472,"{'cotton': 1.0, 'felt': 0.0, 'nylon': 0.8461538461538461}",0.6666666666666666,0.524731182795699,"{'cotton': 1.0, 'felt': 0.0, 'nylon': 0.9230769230769231}",512,116,13,33
textiles,recon_1ch_mean_all,1,"[1, 60, 60]",spatial2_mean_std,"{'augment_train_copies': 2, 'augment_gain_range': 0.08, 'augment_channel_gain_range': 0.04, 'augment_offset_range': 0.02, 'augment_noise_std': 0.005, 'spatial_transforms': 'random rot90 plus random horizontal/vertical flips for augmented copies only'}",linear_svm,linear_svm,0.03,0.6153846153846154,0.03,0.6153846153846154,val_majority,0.5151515151515151,0.42911877394636017,"{'cotton': 0.8, 'felt': 0.0, 'nylon': 0.6923076923076923}",0.5151515151515151,0.40819964349376114,"{'cotton': 0.7, 'felt': 0.0, 'nylon': 0.7692307692307693}",512,116,13,33
textiles,recon_1ch_mean_all,2,"[1, 60, 60]",spatial2_mean_std,"{'augment_train_copies': 2, 'augment_gain_range': 0.08, 'augment_channel_gain_range': 0.04, 'augment_offset_range': 0.02, 'augment_noise_std': 0.005, 'spatial_transforms': 'random rot90 plus random horizontal/vertical flips for augmented copies only'}",linear_svm,linear_svm,0.1,0.7692307692307693,0.03,0.6153846153846154,val_majority,0.5,0.4266666666666667,"{'cotton': 0.8, 'felt': 0.0, 'nylon': 0.6666666666666666}",0.46875,0.36746143057503505,"{'cotton': 0.6, 'felt': 0.0, 'nylon': 0.75}",512,117,13,32
textiles,recon_1ch_mean_all,3,"[1, 60, 60]",spatial2_mean_std,"{'augment_train_copies': 2, 'augment_gain_range': 0.08, 'augment_channel_gain_range': 0.04, 'augment_offset_range': 0.02, 'augment_noise_std': 0.005, 'spatial_transforms': 'random rot90 plus random horizontal/vertical flips for augmented copies only'}",linear_svm,linear_svm,3.0,0.6153846153846154,0.03,0.5384615384615384,val_majority,0.59375,0.47222222222222215,"{'cotton': 1.0, 'felt': 0.0, 'nylon': 0.75}",0.46875,0.3703703703703704,"{'cotton': 0.8, 'felt': 0.0, 'nylon': 0.5833333333333334}",512,117,13,32
textiles,recon_1ch_mean_all,4,"[1, 60, 60]",spatial2_mean_std,"{'augment_train_copies': 2, 'augment_gain_range': 0.08, 'augment_channel_gain_range': 0.04, 'augment_offset_range': 0.02, 'augment_noise_std': 0.005, 'spatial_transforms': 'random rot90 plus random horizontal/vertical flips for augmented copies only'}",linear_svm,linear_svm,0.03,0.6153846153846154,0.03,0.46153846153846156,val_majority,0.6875,0.5918518518518519,"{'cotton': 0.9, 'felt': 0.1, 'nylon': 1.0}",0.46875,0.3384615384615384,"{'cotton': 0.3, 'felt': 0.0, 'nylon': 1.0}",512,117,13,32
